X		Y		Z
-543708.6157	-1059276.226	729.3542
-551618.4822	-1065684.443	792.0514
-544228.2604	-1065928.293	1237.0055
-552269.5199	-1056978.018	978.5992
-554929.383	-1056786.162	737.2617
-552354.2655	-1063031.213	752.3326
-552566.1772	-1064505.177	643.8378
-552117.487	-1057531.407	1087.7852
-553108.9942	-1062827.052	1069.6013
-547049.3046	-1066165.105	890.9096
-552560.4495	-1065118.576	549.2518
-545447.8075	-1064062.619	1181.0839
-548043.8569	-1061029.27	1014.2638
-545464.0792	-1057359.288	597.4591
-549352.9853	-1059145.283	1268.3623
-549771.9855	-1059640.576	1059.1624
-553219.409	-1058826.219	1015.5422
-548068.3125	-1065061.14	809.1527
-549137.7256	-1063167.734	837.437
-543841.0397	-1059450.504	684.0779
-552865.8193	-1064744.415	579.5508
-550617.2413	-1057808.255	1282.567
-550168.1657	-1064280.307	590.1042
-544758.7395	-1060648.002	683.8323
-553476.0886	-1058947.821	978.2699
-548032.6398	-1064591.176	944.8406
-552007.7521	-1063921.174	641.4061
-552353.1545	-1060039.883	958.0696
-543869.2749	-1063141.69	955.3076
-543940.7869	-1064805.517	1356.4697
-547224.3912	-1061598.706	882.579
-552238.0468	-1066097.94	627.8357
-547571.8412	-1057735.083	842.0332
-554344.1635	-1060587.897	1107.5393
-545812.8634	-1059437.915	650.3356
-548334.0247	-1060475.764	1088.2156
-545884.1901	-1060671.736	963.2731
-549598.0247	-1058615.508	1206.5193
-549478.8355	-1065724.67	1028.5542
-550257.0112	-1063543.024	820.7985
-553306.4766	-1063918.501	737.2917
-551332.3311	-1064695.122	613.0095
-546330.7798	-1057847.397	664.9579
-543825.0963	-1061711.844	645.9268
-552412.949	-1056685.102	916.3522
-545075.4159	-1057947.209	563.7899
-546249.4859	-1060329.47	952.3198
-551629.0421	-1064505.707	569.4611
-554668.0056	-1063187.115	748.7986
-554073.6671	-1065588.153	614.8528
-554461.1032	-1060629.607	1130.7083
-552337.5134	-1064310.351	628.749
-552623.5089	-1059338.848	1114.1359
-554929.6096	-1062243.73	919.2164
-551810.6067	-1066103.26	652.4872
-547857.42	-1065320.524	698.286
-551113.2603	-1056601.675	1302.3896
-547771.0004	-1065431.26	769.1898
-549614.7761	-1060244.09	1129.7727
-549852.4204	-1061839.948	1083.1716
-551472.6799	-1058576.125	1342.9636
-545997.8628	-1059038.556	618.5786
-545912.0592	-1056565.126	575.8516
-547621.4248	-1065958.298	1044.2777
-549165.8418	-1060103.8	1259.4072
-549397.79	-1058205.936	1168.4529
-544397.0664	-1065992.157	1277.8474
-546895.004	-1057629.846	668.257
-554966.6982	-1064617.347	852.5031
-551597.0911	-1061584.442	774.1799
-547233.011	-1065296.823	711.2968
-547531.0739	-1058320.971	813.0881
-550793.3265	-1057643.637	1307.618
-550688.0386	-1065557.238	880.6836
-546993.2024	-1059062.195	734.4504
-545785.6273	-1059393.42	640.5429
-553034.7179	-1057662.266	1067.2396
-554860.6964	-1064706.156	854.2251
-546309.9577	-1066368.234	1001.3448
-547067.5257	-1057119.957	707.2808
-554419.2497	-1057693.661	994.2239
-548920.6624	-1065631.632	965.6564
-543656.8713	-1060817.672	828.868
-549832.1573	-1060339.315	1020.9919
-544506.7547	-1061467.272	707.5034
-547603.0857	-1061659.491	923.0042
-552243.1727	-1063914.08	680.4991
-546088.4783	-1064104.36	1187.2395
-553475.8666	-1062901.877	1058.7101
-548857.5083	-1060169.464	1206.5669
-552390.57	-1061580.773	976.6019
-544607.772	-1062003.114	774.4479
-552767.8211	-1059026.594	1103.9576
-546282.0343	-1065764.805	915.6414
-554125.8631	-1058633.298	840.014
-553723.8774	-1066463.931	518.7561
-547835.9354	-1057119.154	723.6879
-548487.9	-1059907.413	1105.0748
-548488.3776	-1059759.64	1044.4401
-550673.3962	-1062349.692	887.9356
-551338.9931	-1066287.514	670.8165
-553667.2927	-1060339.397	1031.5411
-548593.5972	-1059408.669	993.1635
-546138.1008	-1058663.117	613.5086
-553076.4856	-1064158.365	692.5313
-546504.0882	-1064703.219	1100.136
-547727.2237	-1063409.803	854.3079
-553353.4338	-1061413.672	1151.5542
-550406.6638	-1065850.819	816.8815
-552742.5379	-1065505.129	536.1962
-546852.5428	-1057806.522	654.9479
-545730.3681	-1056646.882	560.2241
-553239.6763	-1063170.058	987.2905
-551604.4369	-1059048.926	1202.2759
-553849.1542	-1062990.047	978.822
-550513.1298	-1064313.67	595.1959
-551291.4585	-1065388.313	808.8438
-546168.0195	-1066556.174	1071.9352
-553350.2822	-1065774.164	514.0351
-546683.2045	-1062288.286	1089.8705
-547297.7702	-1059906.206	833.0705
-544910.7768	-1064937.447	1285.8652
-550700.3021	-1059036.905	1296.265
-552098.0648	-1057568.551	1103.4478
-553137.6926	-1060772.785	1008.4496
-554424.1367	-1060212.175	1062.1681
-543793.6952	-1066493.596	1276.0665
-546419.7033	-1061319.801	1134.203
-553714.2435	-1063919.023	703.7149
-543877.3068	-1056594.257	562.4492
-554115.9829	-1066269.749	607.3621
-545113.0381	-1057171.891	554.621
-552062.9793	-1061539.176	820.0745
-551624.283	-1062791.401	635.5887
-548536.6149	-1061147.464	1102.4299
-546174.9725	-1060449.583	1003.7275
-550128.5223	-1062195.829	1023.2255
-549457.9557	-1056661.037	1344.6748
-550557.5547	-1057860.176	1278.1162
-549757.3453	-1060310.205	1049.2059
-550815.6457	-1065962.512	716.6765
-544344.9545	-1066857.164	1394.6946
-549829.6236	-1061623.866	1113.8591
-545688.3238	-1065661.875	1147.2775
-553376.4392	-1056931.256	879.4554
-547727.0859	-1062480.547	1117.9547
-546789.675	-1060921.953	941.4257
-551044.0406	-1056513.678	1325.4419
-545629.9677	-1063477.314	1089.8787
-554790.2987	-1065707.63	672.6794
-553808.8497	-1065652.58	556.0707
-546630.3171	-1062122.622	1074.6351
